% Corrected geomagnetic indices and IMF, solar wind speed and OSF reconstructions
% This is a update of the paper 
%    Lockwood, M., H. Nevanlinna, L. Barnard, M.J. Owens, R.G. Harrison, A.P. Rouillard, and C.J. Scott
%    Reconstruction of Geomagnetic Activity and Near‐Earth Interplanetary Conditions over the Past 167 Years: 4. Near‐Earth Solar Wind Speed, IMF, and Open Solar Flux
%    Annales. Geophys., 32, 383‐399, doi: 10.5194/angeo-32-383-2014 (2014) 
%
% Update uses 
% 1. better, strahl-based correction for excess flux (a.k.a. switchbacks) in spacecraft OSF data from Frost et al. (in press with Solar Physics, 2022)
% 2. the homogeneous aa index (aaH) instead of corrected aa (aa_c) from  
%    Lockwood, M., I.D. Finch, A. Chambodut, L.A. Barnard, M.J. Owens, and E. Clarke
%    A homogeneous aa index: 2. hemispheric asymmetries and the equinoctial variation, 
%    J. Space Weather Space Clim., 8, A58, doi: 10.1051/swsc/2018044 (2018)
%    Lockwood, A. Chambodut, L.A. Barnard, M.J. Owens, E. Clarke, and V. Mendel, 
%    A homogeneous aa index: 1. Secular variation
%    J. Space Weather Space Clim., 8, A53, doi: 10.1051/swsc/2018038 (2018)
% 3. A  better allowance for Uncertainties caused by assumming Parker spiral IMF orientation for annual means
%Updates deries to be published in
%    Lockwood, M., M.J. Owens, L.A. Barnard, C.J. Scott, A.Frost, B. Yu and Y. Chi
%    Application of historic datasets to understanding Open Solar Flux and the 20th-century Grand Solar Maximum. 1. Geomagnetic, ionospheric and sunspot observations
%    Frontiers in Astronomy and Space Sciences, submitted (2022) 
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%   
%	I.S.N	geomagnetic indices		IMF, B			solar wind speed, V	signed open solar flux, Fs		
%year	R	aaH	IDV1d	IDV	IHV	min B	best B	max B	min V	best V	maxV	min Fs	best Fs	max Fs
%		(nT)				(nT)	(nT)	(nT)	(km/s)	(km/s)	(km/s)	1e-14Wb	1e-14Wb	1e-14Wb
%1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1844.5	19.93	15.699	NaN	8.500	NaN	5.481	5.794	6.105	404.0	411.5	418.2	2.525	2.857	3.187
1845.5	47.48	13.096	4.543	9.500	NaN	5.156	5.863	6.488	330.4	369.4	402.0	2.094	2.662	3.162
1846.5	69.19	16.071	4.979	10.100	NaN	5.496	6.168	6.826	373.7	402.4	433.4	2.468	3.027	3.573
1847.5	105.35	17.001	8.030	11.400	NaN	6.773	7.461	8.415	336.2	371.3	396.5	3.061	3.640	4.327
1848.5	132.81	19.140	7.248	13.100	NaN	6.902	7.593	8.433	363.8	392.8	416.4	3.287	3.870	4.529
1849.5	182.52	15.420	5.713	12.000	NaN	6.001	6.810	7.903	320.8	371.1	405.3	2.568	3.240	3.982
1850.5	126.25	14.304	5.237	9.900	NaN	5.689	6.191	6.695	347.8	375.6	399.2	2.473	2.899	3.308
1851.5	121.97	15.885	6.766	9.000	NaN	5.720	6.518	7.496	342.8	387.5	415.0	2.468	3.160	3.903
1852.5	102.73	22.301	6.888	7.600	NaN	5.293	6.313	8.001	459.5	481.5	609.2	2.462	3.461	4.807
1853.5	74.10	17.373	6.947	7.800	NaN	5.348	6.334	7.971	377.1	416.8	497.5	2.199	3.183	4.305
1854.5	39.05	16.257	5.643	6.600	NaN	4.425	5.634	6.699	403.7	429.3	519.6	1.721	2.796	3.621
1855.5	12.69	13.561	4.530	5.800	NaN	3.939	5.069	5.888	380.1	411.5	474.6	1.415	2.364	3.088
1856.5	8.19	9.841	3.819	6.600	NaN	4.476	4.965	5.448	325.2	346.9	364.9	1.485	2.017	2.529
1857.5	43.35	12.445	5.609	7.200	NaN	4.678	5.712	6.552	316.2	365.4	398.6	1.699	2.543	3.253
1858.5	104.44	17.001	6.748	10.600	NaN	6.435	6.868	7.358	371.4	389.5	404.0	2.995	3.399	3.820
1859.5	178.33	17.931	8.377	14.300	NaN	7.470	8.207	9.024	334.0	361.3	387.0	3.457	4.019	4.612
1860.5	182.18	17.745	7.966	13.500	NaN	7.264	7.899	8.580	343.3	367.4	390.3	3.385	3.881	4.395
1861.5	146.58	16.722	6.673	12.200	NaN	6.573	7.184	7.921	345.3	375.8	400.7	3.008	3.505	4.050
1862.5	112.09	18.396	6.952	10.000	NaN	6.211	6.820	7.615	375.4	409.4	427.6	2.924	3.481	4.115
1863.5	83.55	19.791	6.347	9.400	NaN	5.947	6.504	7.157	419.1	438.7	464.8	2.910	3.428	3.997
1864.5	89.23	19.233	6.273	8.400	NaN	5.425	6.258	7.128	421.8	442.3	499.0	2.569	3.276	4.039
1865.5	57.81	20.999	6.088	7.900	NaN	5.166	6.103	7.015	451.9	472.2	549.1	2.507	3.297	4.135
1866.5	30.71	18.303	5.688	7.300	NaN	4.815	5.819	6.695	429.8	449.3	524.8	2.163	3.011	3.782
1867.5	13.91	14.769	4.941	6.800	NaN	4.540	5.432	6.155	386.7	413.9	459.1	1.847	2.611	3.249
1868.5	62.77	16.510	6.772	8.100	NaN	5.394	6.333	7.690	362.8	404.1	462.9	2.188	3.125	4.028
1869.5	123.59	18.880	8.726	11.100	NaN	6.764	7.646	9.177	332.4	389.5	419.7	3.099	3.867	4.945
1870.5	232.01	19.996	9.199	16.700	NaN	7.889	9.016	10.446	324.2	364.0	398.5	3.662	4.519	5.531
1871.5	185.30	19.356	9.155	16.000	NaN	7.868	8.844	10.003	327.8	361.2	391.7	3.655	4.396	5.222
1872.5	169.16	21.190	9.392	14.600	NaN	7.925	8.643	9.396	364.9	385.6	405.2	3.865	4.472	5.089
1873.5	110.15	18.345	7.321	9.900	NaN	6.184	6.920	7.963	364.7	405.8	433.0	2.868	3.519	4.323
1874.5	74.52	13.458	6.020	9.500	NaN	5.929	6.352	6.810	336.4	357.3	375.1	2.475	2.889	3.301
1875.5	28.34	10.591	3.703	7.200	NaN	4.604	5.065	5.481	331.7	357.2	383.2	1.677	2.126	2.568
1876.5	18.92	9.116	4.271	6.000	NaN	4.051	4.975	5.696	291.7	332.8	363.4	1.138	1.944	2.629
1877.5	20.66	8.581	4.389	6.600	NaN	4.401	5.133	5.757	280.3	315.6	342.5	1.237	1.939	2.566
1878.5	5.70	7.126	3.641	5.800	NaN	3.980	4.697	5.330	264.1	300.3	328.0	0.880	1.618	2.281
1879.5	10.05	6.925	3.598	6.000	NaN	4.101	4.722	5.300	259.2	294.6	322.9	0.906	1.600	2.235
1880.5	53.71	10.864	4.624	7.890	27.090	5.163	5.534	5.911	345.0	366.4	385.0	1.971	2.405	2.833
